chnm,Classification,casn,code,CmaxStand,NAS,testname,EC,testtarget,tgt_abbr
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.669313613,APR_HepG2_CellLoss_72h_dn_Row200,18.68519529,cytotoxicity,cytotoxicity
nilutamide,MostDILI Drugs,63612-50-0,C63612500,7.2504,-3.775047654,APR_HepG2_CellLoss_72h_dn_Row200,34.62100551,cytotoxicity,cytotoxicity
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-2.603515931,APR_HepG2_CellLoss_72h_dn_Row200,19.45898603,cytotoxicity,cytotoxicity
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.754601227,APR_HepG2_MicrotubuleCSK_72h_dn_Row628,0.004,cell morphology,cellmorphology
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.048575159,APR_HepG2_MitoMass_24h_dn_Row630,21.86230586,cell cylle,cellcycle
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,0.0227,0.431962775,APR_HepG2_MitoMass_24h_up_Row631,0.012894445,cell cycle,cellcycle
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.272002831,APR_HepG2_MitoMass_72h_up_Row632,12.26881529,cell cycle,cellcycle
clofibrate,LessDILIDrugs,637-07-0,C637070,407.911,0.705293223,APR_HepG2_MitoMembPot_24h_dn_Row201,120.2141361,mitochondrial membrane potential,mmp
nilutamide,MostDILI Drugs,63612-50-0,C63612500,7.2504,0.768292374,APR_HepG2_MitoMembPot_24h_dn_Row201,1.679972969,mitochondrial membrane potential,mmp
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.636195276,APR_HepG2_MitoticArrest_24h_up_Row636,0.005930017,cell cycle,cellcycle
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-2.841971972,APR_HepG2_MitoticArrest_24h_up_Row636,20.74664865,cell cycle,cellcycle
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.754149509,APR_HepG2_MitoticArrest_72h_up_Row176,0.004007363,cell cycle,cellcycle
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-2.554907589,APR_HepG2_MitoticArrest_72h_up_Row176,19.19650098,cell cycle,cellcycle
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,0.0227,-3.333033965,APR_HepG2_NuclearSize_24h_up_Row639,0.098359871,nuclear size,nucsize
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.739542822,APR_HepG2_NuclearSize_72h_up_Row641,0.004245452,cell morphology,cellmorphology
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.914132994,APR_HepG2_OxidativeStress_24h_up_Row205,10.33631817,oxidative stress,oxstress
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.754601227,APR_HepG2_OxidativeStress_24h_up_Row205,0.004,oxidative stress,oxstress
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,0.0227,-0.657736211,APR_HepG2_OxidativeStress_72h_up_Row202,0.037630612,oxidative stress,oxstress
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.449488157,APR_HepG2_OxidativeStress_72h_up_Row202,24.02723605,oxidative stress,oxstress
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.917189687,APR_HepG2_OxidativeStress_72h_up_Row202,27.42032781,oxidative stress,oxstress
methotrexate,MostDILI Drugs,59-05-2,C59052,0.7724,0.99309428,APR_HepG2_OxidativeStress_72h_up_Row202,0.005333978,oxidative stress,oxstress
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,-2.100407669,APR_HepG2_OxidativeStress_72h_up_Row202,0.050536645,oxidative stress,oxstress
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.82389617,APR_HepG2_p53Act_24h_up_Row648,9.849039317,p53,TP53
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,0.999024744,APR_HepG2_p53Act_72h_dn_Row649,0.004000112,p53,TP53
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,0.0227,-0.982706035,APR_HepG2_p53Act_72h_up_Row173,0.045007427,p53,TP53
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.754601227,APR_HepG2_p53Act_72h_up_Row173,0.004,p53,TP53
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,-0.138981566,APR_HepG2_p53Act_72h_up_Row173,3.745996472,p53,TP53
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.90957263,APR_HepG2_p53Act_72h_up_Row173,10.3116922,p53,TP53
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-0.683497883,APR_HepG2_p53Act_72h_up_Row173,11.78448518,p53,TP53
valproic acid,MostDILI Drugs,99-66-1,C99661,540,0.999992347,APR_HepG2_p53Act_72h_up_Row173,0.004132863,p53,TP53
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.740572761,APR_HepG2_StressKinase_24h_up_Row645,0.004228664,stress kinase,JUN
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,0.997548771,APR_HepG2_StressKinase_72h_dn_Row646,0.010053961,stress kinase,JUN
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.754601227,APR_HepG2_StressKinase_72h_up_Row189,0.004,stress kinase,JUN
hydroxyurea,MostDILI Drugs,127-07-1,C127071,348.4321,0.790854243,ATG_Ahr_CIS_dn_Row313,72.87309545,aryl hydrocarbon receptor,AHR
lansoprazole,LessDILIDrugs,103577-45-3,C103577453,1.9222,0.057262989,ATG_Ahr_CIS_up_Row342,1.812129083,aryl hydrocarbon receptor,AHR
leflunomide,MostDILI Drugs,75706-12-6,C75706126,24.7956,0.68318855,ATG_Ahr_CIS_up_Row342,7.85553,aryl hydrocarbon receptor,AHR
sulindac,MostDILI Drugs,38194-50-2,C38194502,31.9852,0.871134881,ATG_Ahr_CIS_up_Row342,4.121776593,aryl hydrocarbon receptor,AHR
zileuton,MostDILI Drugs,111406-87-2,C111406872,13.1192,-2.628375165,ATG_Ahr_CIS_up_Row342,47.60137946,aryl hydrocarbon receptor,AHR
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,0.908589815,ATG_Ahr_CIS_up_Row342,0.639871295,aryl hydrocarbon receptor,AHR
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,0.373389059,ATG_AP_1_CIS_up_Row35,2.060860725,AP1 transcription factor,JUN
leflunomide,MostDILI Drugs,75706-12-6,C75706126,24.7956,-2.798933772,ATG_AP_1_CIS_up_Row35,94.19684223,AP1 transcription factor,JUN
tolazamide,LessDILIDrugs,1156-19-0,C1156190,90,0.989272537,ATG_AP_1_CIS_up_Row35,0.96547165,AP1 transcription factor,JUN
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.261109466,ATG_AP_1_CIS_up_Row35,8.054327828,AP1 transcription factor,JUN
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.625499815,ATG_AP_1_CIS_up_Row35,24.977699,AP1 transcription factor,JUN
leflunomide,MostDILI Drugs,75706-12-6,C75706126,24.7956,0.752882873,ATG_AP_2_CIS_dn_Row338,6.12741743,AP2 transcription factor,TFAP2A
tolcapone,MostDILI Drugs,134308-13-7,C134308137,74.2928,0.713067127,ATG_AP_2_CIS_dn_Row338,21.31704656,AP2 transcription factor,TFAP2A
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,0.999786842,ATG_AR_TRANS_dn_Row340,0.001492108,steroidal,AR
norethindrone,AmbiDILIDrugs,68-22-4,C68224,0.0328,-1.846914604,ATG_AR_TRANS_up_Row341,0.093378799,androgen receptor,AR
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-3.082935414,ATG_BRE_CIS_up_Row344,28.5805479,smad protein,BMPR2
leflunomide,MostDILI Drugs,75706-12-6,C75706126,24.7956,-3.80716319,ATG_BRE_CIS_up_Row344,119.1964956,smad protein,BMPR2
tolcapone,MostDILI Drugs,134308-13-7,C134308137,74.2928,0.185007818,ATG_BRE_CIS_up_Row344,60.54805117,smad protein,BMPR2
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,-3.621798653,ATG_C_EBP_CIS_up_Row350,15.20063359,basic leucine zipper,CEBPB
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-3.81107444,ATG_CAR_TRANS_dn_Row345,33.67752108,constitutive androstane receptor,NR1I3
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,-3.411303252,ATG_CMV_CIS_up_Row39,0.071904243,background control,intmrkr
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,0.463736523,ATG_CMV_CIS_up_Row39,1.76371695,background control,intmrkr
tetracycline,LessDILIDrugs,60-54-8,C60548,27.8172,-2.142259871,ATG_CMV_CIS_up_Row39,87.40887127,background control,intmrkr
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.512037199,ATG_CMV_CIS_up_Row39,24.58426039,background control,intmrkr
nilutamide,MostDILI Drugs,63612-50-0,C63612500,7.2504,-2.396511733,ATG_CMV_CIS_up_Row39,24.62606867,background control,intmrkr
tolcapone,MostDILI Drugs,134308-13-7,C134308137,74.2928,0.828953692,ATG_CMV_CIS_up_Row39,12.70750916,background control,intmrkr
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.357778463,ATG_CMV_CIS_up_Row39,8.671723711,background control,intmrkr
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.893280877,ATG_CRE_CIS_up_Row348,20.25296614,basic leucine zipper,CREB3
celecoxib,LessDILIDrugs,169590-42-5,C169590425,1.8328,-3.567609544,ATG_DR4_LXR_CIS_dn_Row28,8.371514772,liver x receptor,NR1H3
albendazole,MostDILI Drugs,54965-21-8,C54965218,0.9045,-2.50155629,ATG_DR4_LXR_CIS_dn_Row28,3.167157664,liver x receptor,NR1H3
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.432619561,ATG_DR4_LXR_CIS_dn_Row28,24.02833693,liver x receptor,NR1H3
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,0.074454923,ATG_DR4_LXR_CIS_dn_Row28,5.911178742,liver x receptor,NR1H3
indomethacin,MostDILI Drugs,53-86-1,C53861,5.5899,-2.391664003,ATG_DR5_CIS_dn_Row352,18.95906261,non-steroidal,TNFRSF10B
hydrochlorothiazide,LessDILIDrugs,58-93-5,C58935,1.6457,-1.939730498,ATG_DR5_CIS_up_Row335,4.837914481,non-steroidal,TNFRSF10B
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,0.17133397,ATG_DR5_CIS_up_Row335,2.725399707,non-steroidal,TNFRSF10B
danazol,MostDILI Drugs,17230-88-5,C17230885,0.1092,-3.8998588,ATG_DR5_CIS_up_Row335,0.535064581,non-steroidal,TNFRSF10B
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-2.151974465,ATG_E_Box_CIS_dn_Row362,17.02066211,e-box protein,USF1
sulindac,MostDILI Drugs,38194-50-2,C38194502,31.9852,-0.669141528,ATG_E_Box_CIS_dn_Row362,53.38782559,e-box protein,USF1
tolcapone,MostDILI Drugs,134308-13-7,C134308137,74.2928,0.780428617,ATG_E_Box_CIS_dn_Row362,16.31257281,e-box protein,USF1
mefenamic acid,MostDILI Drugs,61-68-7,C61687,26.9388,-2.243686821,ATG_E_Box_CIS_up_Row30,87.38103053,e-box protein,USF1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.026146398,ATG_E_Box_CIS_up_Row30,6.553689197,e-box protein,USF1
theophylline,NoDILI Drugs,58-55-9,C58559,85,0.987696486,ATG_E_Box_CIS_up_Row30,1.04579865,e-box protein,USF1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-0.027935704,ATG_E2F_CIS_dn_Row31,6.565116963,E2F transcription factor,E2F1
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-0.4523955,ATG_EGR_CIS_up_Row355,10.1667685,early growth response protein 1,EGR1
sulindac,MostDILI Drugs,38194-50-2,C38194502,31.9852,-0.192807087,ATG_EGR_CIS_up_Row355,38.15217324,early growth response protein 1,EGR1
metformin,LessDILIDrugs,657-24-9,C657249,10.8,-0.237347786,ATG_ERa_TRANS_dn_Row361,13.36335609,estrogen receptor,ESR1
estrone,AmbiDILIDrugs,53-16-7,C53167,0.0218,0.958715596,ATG_ERa_TRANS_up_Row27,9.00E-04,estrogen receptor,ESR1
norethindrone,AmbiDILIDrugs,68-22-4,C68224,0.0328,0.631598323,ATG_ERa_TRANS_up_Row27,0.012083575,estrogen receptor,ESR1
fenofibrate,LessDILIDrugs,49562-28-9,C49562289,4.1016,-3.44383109,ATG_ERa_TRANS_up_Row27,18.2268176,estrogen receptor,ESR1
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.858816889,ATG_ERa_TRANS_up_Row27,35.29577767,estrogen receptor,ESR1
tetracycline,LessDILIDrugs,60-54-8,C60548,27.8172,-1.03801264,ATG_ERa_TRANS_up_Row27,56.69180521,estrogen receptor,ESR1
gemfibrozil,MostDILI Drugs,25812-30-0,C25812300,360.6753,0.947412898,ATG_ERa_TRANS_up_Row27,18.96686891,estrogen receptor,ESR1
nitrofurantoin,MostDILI Drugs,67-20-9,C67209,6,-2.97265415,ATG_ERa_TRANS_up_Row27,23.8359249,estrogen receptor,ESR1
sulindac,MostDILI Drugs,38194-50-2,C38194502,31.9852,-0.895491362,ATG_ERa_TRANS_up_Row27,60.6276703,estrogen receptor,ESR1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,0.151948014,ATG_ERa_TRANS_up_Row27,5.416253616,estrogen receptor,ESR1
danazol,MostDILI Drugs,17230-88-5,C17230885,0.1092,-2.962308571,ATG_ERa_TRANS_up_Row27,0.432684096,estrogen receptor ,ESR1
caffeine,NoDILI Drugs,58-08-2,C58082,42,0.017433724,ATG_ERa_TRANS_up_Row27,41.26778359,estrogen receptor ,ESR1
metformin,LessDILIDrugs,657-24-9,C657249,10.8,0.938896794,ATG_ERE_CIS_dn_Row356,0.659914629,estrogen receptor,ESR1
tamoxifen,MostDILI Drugs,10540-29-1,C10540291,0.1712,0.884933954,ATG_ERE_CIS_dn_Row356,0.019699307,estrogen receptor,ESR1
estrone,AmbiDILIDrugs,53-16-7,C53167,0.0218,0.958715596,ATG_ERE_CIS_up_Row9,9.00E-04,estrogen receptor,ESR1
norethindrone,AmbiDILIDrugs,68-22-4,C68224,0.0328,0.872240976,ATG_ERE_CIS_up_Row9,0.004190496,estrogen receptor,ESR1
hydrochlorothiazide,LessDILIDrugs,58-93-5,C58935,1.6457,-0.991638112,ATG_ERE_CIS_up_Row9,3.277638841,estrogen receptor,ESR1
ibuprofen,LessDILIDrugs,15687-27-1,C15687271,250,0.961736867,ATG_ERE_CIS_up_Row9,9.565783353,estrogen receptor,ESR1
ifosfamide,LessDILIDrugs,3778-73-2,C3778732,203,0.496966977,ATG_ERE_CIS_up_Row9,102.1157036,estrogen receptor,ESR1
progesterone,LessDILIDrugs,57-83-0,C57830,0.1927,-3.511915153,ATG_ERE_CIS_up_Row9,0.86944605,estrogen receptor,ESR1
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,0.610451022,ATG_ERE_CIS_up_Row9,1.281187635,estrogen receptor,ESR1
tetracycline,LessDILIDrugs,60-54-8,C60548,27.8172,-0.281537007,ATG_ERE_CIS_up_Row9,35.64877124,estrogen receptor,ESR1
gemfibrozil,MostDILI Drugs,25812-30-0,C25812300,360.6753,0.759070305,ATG_ERE_CIS_up_Row9,86.8973899,estrogen receptor,ESR1
isoniazid,MostDILI Drugs,54-85-3,C54853,76.5635,0.579629148,ATG_ERE_CIS_up_Row9,32.18506374,estrogen receptor,ESR1
leflunomide,MostDILI Drugs,75706-12-6,C75706126,24.7956,0.038538079,ATG_ERE_CIS_up_Row9,23.84002522,estrogen receptor,ESR1
mefenamic acid,MostDILI Drugs,61-68-7,C61687,26.9388,0.851714973,ATG_ERE_CIS_up_Row9,3.994620695,estrogen receptor,ESR1
sulindac,MostDILI Drugs,38194-50-2,C38194502,31.9852,0.40993672,ATG_ERE_CIS_up_Row9,18.87329203,estrogen receptor,ESR1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,0.964576989,ATG_ERE_CIS_up_Row9,0.226236146,estrogen receptor,ESR1
carbamazepine,MostDILI Drugs,298-46-4,C298464,25.8176,-1.181874758,ATG_ERE_CIS_up_Row9,56.33076974,estrogen receptor ,ESR1
felbamate,MostDILI Drugs,25451-15-4,C25451154,42,0.969428582,ATG_FoxO_CIS_up_Row368,1.283999552,Foxo3,FOXO3
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-1.540258645,ATG_FXR_TRANS_up_Row83,16.22386989,farnesoid x receptor,NR1H4
pyridoxine,NoDILI Drugs,65-23-6,C65236,0.1216,-3.362316916,ATG_GATA_CIS_dn_Row370,0.530457737,GATA proteins,GATA
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,0.813413923,ATG_GATA_CIS_up_Row371,0.61366295,GATA proteins,GATA
caffeine,NoDILI Drugs,58-08-2,C58082,42,0.984395538,ATG_GATA_CIS_up_Row371,0.655387421,GATA proteins,GATA
pyridoxine,NoDILI Drugs,65-23-6,C65236,0.1216,-3.532437549,ATG_GLI_CIS_dn_Row372,0.551144406,zinc finger protein,GLI1
methylprednisolone,LessDILIDrugs,83-43-2,C83432,2.9909,0.995576057,ATG_GR_TRANS_up_Row377,0.013231571,glucocorticoid receptor,NR3C1
prednisolone,LessDILIDrugs,50-24-8,C50248,0.6797,0.105159575,ATG_GR_TRANS_up_Row377,0.608223037,glucocorticoid receptor,NR3C1
tolcapone,MostDILI Drugs,134308-13-7,C134308137,74.2928,-0.714295105,ATG_GR_TRANS_up_Row377,127.3597834,glucocorticoid receptor,NR3C1
ampicillin,LessDILIDrugs,69-53-4,C69534,8.42,0.320805319,ATG_GRE_CIS_dn_Row374,5.718819215,glucocorticoid receptor,NR3C1
methylprednisolone,LessDILIDrugs,83-43-2,C83432,2.9909,0.99732522,ATG_GRE_CIS_up_Row375,0.008,glucocorticoid receptor,NR3C1
prednisolone,LessDILIDrugs,50-24-8,C50248,0.6797,0.391373587,ATG_GRE_CIS_up_Row375,0.413683373,glucocorticoid receptor,NR3C1
clotrimazole,LessDILIDrugs,23593-75-1,C23593751,0.087,0.992747126,ATG_HIF1a_CIS_dn_Row378,0.000631,HIF1a,HIF1a
tolazamide,LessDILIDrugs,1156-19-0,C1156190,90,0.40495348,ATG_HIF1a_CIS_dn_Row378,53.55418676,HIF1a,HIF1a
warfarin,LessDILIDrugs,81-81-2,C81812,4.8649,0.095146714,ATG_HIF1a_CIS_dn_Row378,4.402020751,HIF1a,HIF1a
erythromycin,MostDILI Drugs,114-07-8,C114078,11,-2.003061133,ATG_HIF1a_CIS_dn_Row378,33.03367246,HIF1a,HIF1a
gemfibrozil,MostDILI Drugs,25812-30-0,C25812300,360.6753,0.842531885,ATG_HIF1a_CIS_dn_Row378,56.79485951,HIF1a,HIF1a
nitrofurantoin,MostDILI Drugs,67-20-9,C67209,6,-0.555098329,ATG_HIF1a_CIS_dn_Row378,9.330589973,HIF1a,HIF1a
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,0.22928244,ATG_HIF1a_CIS_up_Row379,5.39502292,HIF1a,HIF1a
leflunomide,MostDILI Drugs,75706-12-6,C75706126,24.7956,-1.67236072,ATG_HIF1a_CIS_up_Row379,66.26278748,HIF1a,HIF1a
sulindac,MostDILI Drugs,38194-50-2,C38194502,31.9852,0.031539877,ATG_HIF1a_CIS_up_Row379,30.97639073,HIF1a,HIF1a
tolcapone,MostDILI Drugs,134308-13-7,C134308137,74.2928,0.715907833,ATG_HIF1a_CIS_up_Row379,21.10600256,HIF1a,HIF1a
fluconazole,MostDILI Drugs,86386-73-4,C86386734,8.8156,-2.596088651,ATG_HNF4a_TRANS_dn_Row380,31.70167911,HNF4a,HNF4a
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.57083362,ATG_IR1_CIS_dn_Row386,24.99583534,non-steroidal,NR1H4
hydrochlorothiazide,LessDILIDrugs,58-93-5,C58935,1.6457,-0.52861453,ATG_IR1_CIS_up_Row387,2.515640932,non-steroidal,NR1H4
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-1.47528561,ATG_ISRE_CIS_dn_Row388,17.32699927,interferon regulatory factors,IFNG
sulindac,MostDILI Drugs,38194-50-2,C38194502,31.9852,-0.409351657,ATG_ISRE_CIS_dn_Row388,45.07839462,interferon regulatory factors,IFNG
primidone,NoDILI Drugs,125-33-7,C125337,4.6734,-0.223874925,ATG_LXRb_TRANS_up_Row393,5.719657075,liver x receptor,NR1H2
felbamate,MostDILI Drugs,25451-15-4,C25451154,42,0.97657037,ATG_M_19_CIS_dn_Row399,0.984044454,internal marker,intmrkr
theophylline,NoDILI Drugs,58-55-9,C58559,85,0.970849351,ATG_M_19_CIS_dn_Row399,2.477805192,internal marker,intmrkr
atenolol,LessDILIDrugs,29122-68-7,C29122687,4.9936,0.284073242,ATG_M_19_TRANS_up_Row402,3.575051857,internal marker,intmrkr
folic acid,NoDILI Drugs,59-30-3,C59303,0.075,-0.02141652,ATG_M_19_TRANS_up_Row402,0.076606239,internal marker,intmrkr
theophylline,NoDILI Drugs,58-55-9,C58559,85,0.999973525,ATG_M_19_TRANS_up_Row402,0.002250359,internal marker,intmrkr
pyrimethamine,LessDILIDrugs,58-14-0,C58140,3.2889,0.801143403,ATG_M_32_TRANS_up_Row406,0.654019462,internal marker,intmrkr
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-3.468500971,ATG_MRE_CIS_up_Row84,31.2795068,metal regulatory transcription factor,MTF1
leflunomide,MostDILI Drugs,75706-12-6,C75706126,24.7956,-1.861871916,ATG_MRE_CIS_up_Row84,70.96183129,metal regulatory transcription factor,MTF1
mefenamic acid,MostDILI Drugs,61-68-7,C61687,26.9388,-1.692155124,ATG_MRE_CIS_up_Row84,72.52342846,metal regulatory transcription factor,MTF1
tolcapone,MostDILI Drugs,134308-13-7,C134308137,74.2928,-0.602439314,ATG_MRE_CIS_up_Row84,119.0497035,metal regulatory transcription factor,MTF1
troglitazone,MostDILI Drugs,97322-87-7,C97322877,6.3867,-1.559695453,ATG_MRE_CIS_up_Row84,16.34800695,metal regulatory transcription factor,MTF1
celecoxib,LessDILIDrugs,169590-42-5,C169590425,1.8328,-2.773799863,ATG_MRE_CIS_up_Row84,6.916620388,MTF1 (metal response binding factor),MTF1
leflunomide,MostDILI Drugs,75706-12-6,C75706126,24.7956,0.979272133,ATG_Myc_CIS_dn_Row413,0.513959908,myc oncogene ,MYC
fluvastatin,LessDILIDrugs,93957-54-1,C93957541,0.6635,-1.141990509,ATG_NF_kB_CIS_dn_Row330,1.421210703,NFkB,NFKB1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.67059785,ATG_NF_kB_CIS_dn_Row330,25.22122839,NFkB,NFKB1
theophylline,NoDILI Drugs,58-55-9,C58559,85,-0.924336122,ATG_NF_kB_CIS_dn_Row330,163.5685704,NFkB,NFKB1
ampicillin,LessDILIDrugs,69-53-4,C69534,8.42,0.32075436,ATG_NFI_CIS_dn_Row415,5.719248287,nuclear factor 1,NF1A
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.668759113,ATG_NFI_CIS_up_Row416,25.68131379,nuclear factor 1,NF1A
etoposide,LessDILIDrugs,33419-42-0,C33419420,17,-0.869073816,ATG_NRF1_CIS_dn_Row336,31.77425487,NRF1 transcription factor,NRF1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-1.925931494,ATG_NRF1_CIS_dn_Row336,15.80003007,NRF1 transcription factor,NRF1
pyridoxine,NoDILI Drugs,65-23-6,C65236,0.1216,-3.315881694,ATG_NRF1_CIS_dn_Row336,0.524811214,NRF1 transcription factor,NRF1
