chnm,Classification,casn,Code,Testname,AC50
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p1_ratio,0.853806198
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p2_ch2,0.407100827
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p2_ratio,0.261989727
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p3_ch2,0.364975968
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p3_ratio,0.440468225
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p4_ch2,0.178065343
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p4_ratio,0.23665602
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p5_ch2,0.753320872
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p5_ratio,0.438746085
colchicine,AmbiDILIDrugs,64-86-8,C64868,ACEA_AR_agonist_AUC_viability,0.003446312
colchicine,AmbiDILIDrugs,64-86-8,C64868,ACEA_AR_antagonist_80hr,0.005635076
colchicine,AmbiDILIDrugs,64-86-8,C64868,ACEA_AR_antagonist_AUC_viability,0.004878114
colchicine,AmbiDILIDrugs,64-86-8,C64868,ACEA_ER_AUC_viability,0.002735739
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_CellCycleArrest_24h_dn,0.004888066
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_CellCycleArrest_72h_dn,0.025886068
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_CellLoss_24h_dn,0.004
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_CellLoss_72h_dn,0.211832805
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_MicrotubuleCSK_72h_dn,0.004
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_MitoticArrest_24h_up,0.005930017
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_MitoticArrest_72h_up,0.004007363
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_NuclearSize_72h_up,0.004245452
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_OxidativeStress_24h_up,0.004
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_OxidativeStress_72h_up,0.050536645
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_StressKinase_24h_up,0.004228664
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_StressKinase_72h_up,0.004
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_p53Act_24h_up,0.116348272
colchicine,AmbiDILIDrugs,64-86-8,C64868,APR_HepG2_p53Act_72h_up,0.004
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_AP_1_CIS_up,0.141954018
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_AP_2_CIS_dn,55.45924005
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_BRE_CIS_dn,4.838995351
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_CMV_CIS_up,0.071904243
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_ERE_CIS_dn,0.084011568
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_E_Box_CIS_dn,0.558246385
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_GAL4_TRANS_dn,0.179737185
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_HIF1a_CIS_dn,0.681775128
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_IR1_CIS_dn,0.12050914
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_NFI_CIS_dn,0.350615648
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_NRF1_CIS_dn,0.273590761
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_PXRE_CIS_dn,0.009
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_TCF_b_cat_CIS_dn,0.362977966
colchicine,AmbiDILIDrugs,64-86-8,C64868,ATG_p53_CIS_dn,4.73388115
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_3C_HLADR_down,0.695389522
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_3C_Proliferation_down,0.013551584
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_3C_SRB_down,0.016926748
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_3C_VCAM1_down,0.15581017
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_3C_Vis_down,0.01060898
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_3C_uPAR_down,0.044852163
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_4H_Eotaxin3_down,0.735055941
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_4H_Pselectin_down,0.6469777
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_4H_SRB_down,0.01
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_4H_uPAR_down,0.011605976
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_BE3C_HLADR_down,0.01
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_BE3C_PAI1_down,0.010567558
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_CASM3C_HLADR_down,0.870712666
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_CASM3C_IL6_up,0.707552942
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_CASM3C_Proliferation_down,0.010315195
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_CASM3C_VCAM1_down,0.200627602
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_KF3CT_MMP9_down,0.810458864
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_LPS_CD40_down,0.010071855
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_LPS_IL1a_down,0.893402733
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_LPS_MCSF_down,0.783337143
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_LPS_SRB_down,0.581805517
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_LPS_TNFa_down,1.288081416
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_LPS_VCAM1_down,0.754101463
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_SAg_CD38_down,0.016910779
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_SAg_CD40_down,0.01
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_SAg_CD69_down,0.047013723
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_SAg_Proliferation_down,0.01
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_SAg_SRB_down,0.46599595
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_hDFCGF_IP10_down,28.10835817
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_hDFCGF_MMP1_down,2.278777394
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_hDFCGF_Proliferation_down,0.684417682
colchicine,AmbiDILIDrugs,64-86-8,C64868,BSK_hDFCGF_VCAM1_down,1.909279701
colchicine,AmbiDILIDrugs,64-86-8,C64868,CEETOX_H295R_MTT_Cytotoxicity_dn,0.095348115
colchicine,AmbiDILIDrugs,64-86-8,C64868,CEETOX_H295R_MTT_Cytotoxicity_up,0.095348115
colchicine,AmbiDILIDrugs,64-86-8,C64868,NHEERL_ZF_144hpf_TERATOSCORE_up,69.33451839
colchicine,AmbiDILIDrugs,64-86-8,C64868,NVS_ADME_hCYP19A1_Activator,1.898363884
colchicine,AmbiDILIDrugs,64-86-8,C64868,NVS_ENZ_hCASP4,0.4514164
colchicine,AmbiDILIDrugs,64-86-8,C64868,NVS_ENZ_hMMP13,27.09366522
colchicine,AmbiDILIDrugs,64-86-8,C64868,NVS_ENZ_hMMP3,27.82700215
colchicine,AmbiDILIDrugs,64-86-8,C64868,NVS_GPCR_rabPAF,18.6048221
colchicine,AmbiDILIDrugs,64-86-8,C64868,OT_AR_ARSRC1_0480,0.017016345
colchicine,AmbiDILIDrugs,64-86-8,C64868,OT_AR_ARSRC1_0960,0.258722839
colchicine,AmbiDILIDrugs,64-86-8,C64868,OT_ER_ERaERb_1440,13.35268962
colchicine,AmbiDILIDrugs,64-86-8,C64868,OT_FXR_FXRSRC1_0480,0.032632098
colchicine,AmbiDILIDrugs,64-86-8,C64868,OT_FXR_FXRSRC1_1440,0.003008268
colchicine,AmbiDILIDrugs,64-86-8,C64868,OT_NURR1_NURR1RXRa_0480,13.87022647
colchicine,AmbiDILIDrugs,64-86-8,C64868,OT_NURR1_NURR1RXRa_1440,87.76862593
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_AP1_BLA_Agonist_ch2,0.033590813
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_AP1_BLA_Agonist_ratio,0.033862905
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_ARE_BLA_agonist_ratio,0.013817049
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_AR_BLA_Agonist_ratio,0.009896171
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_AR_BLA_Antagonist_ch2,0.015667934
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_AR_BLA_Antagonist_ratio,0.009733586
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_CAR_Agonist_viabillity,0.032188146
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_CAR_Antagonist,0.008819136
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_CAR_Antagonist_viability,0.025569738
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_DT40,0.009155439
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_DT40_100,0.009721056
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_DT40_657,0.009683363
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_ERa_BLA_Agonist_ch1,0.017668162
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_ERa_BLA_Antagonist_ratio,0.016796018
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_ERa_LUC_BG1_Antagonist,24.871
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_ERa_LUC_BG1_Antagonist_Specificity,0.060961173
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_FXR_BLA_Antagonist_ch1,0.011990115
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_FXR_BLA_Antagonist_ch2,0.005713725
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_FXR_BLA_antagonist_ratio,0.006045556
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_PGC_ERR_viability,0.043110934
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_RORg_LUC_CHO_Antagonist,0.681704207
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_RORg_LUC_CHO_Antagonist_viability,0.769438601
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_RT_HEK293_GLO_24hr_viability,0.014260164
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_RT_HEK293_GLO_32hr_viability,0.002587519
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_RT_HEK293_GLO_40hr_viability,0.002039427
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_RT_HEPG2_FLO_40hr_ctrl_viability,17.63398279
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_SSH_3T3_GLI3_Antagonist,0.009089744
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_SSH_3T3_GLI3_Antagonist_viability,0.058467061
colchicine,AmbiDILIDrugs,64-86-8,C64868,TOX21_TR_LUC_GH3_Antagonist,0.090112449
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_ActivityScore,171.8778624
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_BRAI_up,28.03619752
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_JAW_up,189.7366397
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_OTIC_up,23.4270828
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_PE_up,28.52023728
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_PFIN_up,22.06030347
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_PIG_up,29.39961717
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_SOMI_up,13.34977802
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_TR_up,18.46281738
colchicine,AmbiDILIDrugs,64-86-8,C64868,Tanguay_ZF_120hpf_YSE_up,29.81796273
disulfiram,MostDILI Drugs,97-77-8,C97778,ACEA_AR_agonist_AUC_viability,20.90151818
disulfiram,MostDILI Drugs,97-77-8,C97778,ACEA_AR_antagonist_80hr,20.6270981
disulfiram,MostDILI Drugs,97-77-8,C97778,ACEA_AR_antagonist_AUC_viability,21.05728479
disulfiram,MostDILI Drugs,97-77-8,C97778,ACEA_ER_AUC_viability,20.41704576
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_CellCycleArrest_24h_dn,8.017763304
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_CellCycleArrest_72h_dn,3.62816687
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_CellLoss_24h_dn,62.2935671
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_CellLoss_72h_dn,19.45898603
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_MicrotubuleCSK_24h_dn,78.95435479
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_MicrotubuleCSK_72h_dn,61.10684087
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_MitoMass_24h_dn,21.86230586
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_MitoMass_72h_up,12.26881529
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_MitoMembPot_72h_dn,36.28211037
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_MitoticArrest_24h_up,20.74664865
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_MitoticArrest_72h_up,19.19650098
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_OxidativeStress_24h_up,10.33631817
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_OxidativeStress_72h_up,24.02723605
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_StressKinase_24h_dn,87.48338829
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_StressKinase_72h_up,28.33960849
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_p53Act_24h_up,9.849039317
disulfiram,MostDILI Drugs,97-77-8,C97778,APR_HepG2_p53Act_72h_up,10.3116922
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_AP_1_CIS_up,24.977699
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_BRE_CIS_dn,89.97827332
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_CMV_CIS_dn,163.6025717
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_CRE_CIS_up,82.24386156
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_C_EBP_CIS_up,71.8877492
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_DR4_LXR_CIS_dn,28.88405009
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_DR5_CIS_up,100.1527363
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_EGR_CIS_up,118.5506099
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_ERE_CIS_dn,75.39849405
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_E_Box_CIS_dn,17.02066211
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_Ets_CIS_dn,163.6060494
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_FoxA2_CIS_dn,163.6075452
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_FoxO_CIS_dn,100.1737974
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_GATA_CIS_dn,163.5712542
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_GLI_CIS_up,120.1335146
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_HIF1a_CIS_up,163.7402246
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_HNF6_CIS_dn,111.7624121
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_HSE_CIS_up,111.2434318
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_IR1_CIS_dn,74.98963711
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_ISRE_CIS_dn,90.91929481
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_MRE_CIS_up,127.4196149
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_Myb_CIS_dn,163.6194521
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_Myc_CIS_up,92.28703608
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_NFI_CIS_up,163.5922763
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_NF_kB_CIS_dn,25.22122839
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_NRF1_CIS_dn,15.80002875
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_NRF1_CIS_up,163.3633566
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_Oct_MLP_CIS_up,92.28643829
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_PBREM_CIS_up,139.9905912
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_PXRE_CIS_dn,163.6114764
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_PXR_TRANS_up,41.44803626
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_Pax6_CIS_up,121.8817746
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_RARa_TRANS_dn,75.51786418
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_SREBP_CIS_up,163.5814936
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_Sox_CIS_up,109.242204
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_Sp1_CIS_up,100.8242857
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_TCF_b_cat_CIS_dn,112.9416698
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_VDRE_CIS_up,112.2533744
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_Xbp1_CIS_up,89.21999498
disulfiram,MostDILI Drugs,97-77-8,C97778,ATG_p53_CIS_dn,121.737747
disulfiram,MostDILI Drugs,97-77-8,C97778,BSK_3C_Eselectin_down,27.93498752
disulfiram,MostDILI Drugs,97-77-8,C97778,BSK_3C_HLADR_down,9.330885666
disulfiram,MostDILI Drugs,97-77-8,C97778,BSK_3C_ICAM1_down,27.30015065
disulfiram,MostDILI Drugs,97-77-8,C97778,BSK_3C_IL8_down,33.02080177
disulfiram,MostDILI Drugs,97-77-8,C97778,BSK_3C_MCP1_down,25.82740247
disulfiram,MostDILI Drugs,97-77-8,C97778,BSK_3C_MIG_down,34.05457082
disulfiram,MostDILI Drugs,97-77-8,C97778,BSK_3C_Proliferation_down,7.838430828
disulfiram,MostDILI Drugs,97-77-8,C97778,BSK_3C_SRB_down,25.22353132
disulfiram,MostDILI Drugs,97-77-8,C97778,BSK_3C_Thrombomodulin_up,12.53153921
